"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96","DELETE /users/{id} deletes user","","Mon Mar 02 11:39:48 UTC 2026","passed","Mon Mar 02 11:39:48 UTC 2026","","Users API Tests","com.api.tests.UsersApiTest","testDeleteUser"
"","76","GET /users returns 200 and 10 users","","Mon Mar 02 11:39:48 UTC 2026","passed","Mon Mar 02 11:39:48 UTC 2026","","Users API Tests","com.api.tests.UsersApiTest","testGetAllUsers"
"","88","DELETE /albums/{id} deletes album","","Mon Mar 02 11:39:49 UTC 2026","passed","Mon Mar 02 11:39:50 UTC 2026","","Albums API Tests","com.api.tests.AlbumsApiTest","testDeleteAlbum"
"","158","PUT /albums/{id} updates existing album","","Mon Mar 02 11:39:50 UTC 2026","passed","Mon Mar 02 11:39:50 UTC 2026","","Albums API Tests","com.api.tests.AlbumsApiTest","testUpdateAlbum"
"","93","GET /todos returns 200 and 200 todos","","Mon Mar 02 11:39:47 UTC 2026","passed","Mon Mar 02 11:39:47 UTC 2026","","Todos API Tests","com.api.tests.TodosApiTest","testGetAllTodos"
"","168","POST /users creates new user","","Mon Mar 02 11:39:48 UTC 2026","passed","Mon Mar 02 11:39:48 UTC 2026","","Users API Tests","com.api.tests.UsersApiTest","testCreateUser"
"","196","PUT /posts/{id} updates existing post","","Mon Mar 02 11:39:49 UTC 2026","passed","Mon Mar 02 11:39:49 UTC 2026","","Posts API Tests","com.api.tests.PostsApiTest","testUpdatePost"
"","466","GET /photos/{id} validates JSON schema","","Mon Mar 02 11:39:45 UTC 2026","passed","Mon Mar 02 11:39:45 UTC 2026","","Photos API Tests","com.api.tests.PhotosApiTest","testPhotoJsonSchema"
"","102","DELETE /posts/{id} deletes post","","Mon Mar 02 11:39:49 UTC 2026","passed","Mon Mar 02 11:39:49 UTC 2026","","Posts API Tests","com.api.tests.PostsApiTest","testDeletePost"
"","2488","DELETE /photos/{id} deletes photo","","Mon Mar 02 11:39:41 UTC 2026","passed","Mon Mar 02 11:39:43 UTC 2026","","Photos API Tests","com.api.tests.PhotosApiTest","testDeletePhoto"
"","76","GET /posts returns 200 and list of posts","","Mon Mar 02 11:39:49 UTC 2026","passed","Mon Mar 02 11:39:49 UTC 2026","","Posts API Tests","com.api.tests.PostsApiTest","testGetAllPosts"
